,finalPrice,auctionId,auctionTitle,auctionDate,auctionLocation,estimate_low,estimate_high,title,displayName,url,startingBid,currentBid,numberOfBids,sold
17,,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,1300000,1800000,MICHELANGELO PISTOLETTO |  L'ANNUNCIAZIONE (THE ANNUNCIATION) ,MICHELANGELO  PISTOLETTO ,/en/buy/auction/2020/contemporary-art-evening-auction-2/michelangelo-pistoletto-lannunciazione-the,130000,,0,False
18,922500.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,800000,1200000," LUCIO FONTANA | CONCETTO SPAZIALE, ATTESE",Lucio Fontana,/en/buy/auction/2020/contemporary-art-evening-auction-2/lucio-fontana-concetto-spaziale-attese,600000,750000.0,4,True
19,1709000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,1800000,2500000,PIERO MANZONI | ACHROME,Piero Manzoni,/en/buy/auction/2020/contemporary-art-evening-auction-2/piero-manzoni-achrome,950000,1400000.0,6,True
20,402200.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,400000,600000,BRICE MARDEN | ETUDE ÉTÉ (SUMMER STUDY),Brice  Marden,/en/buy/auction/2020/contemporary-art-evening-auction-2/brice-marden-etude-ete-summer-study,250000,320000.0,2,False
21,2556000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,1800000,2500000, CY TWOMBLY |  UNTITLED,Cy Twombly,/en/buy/auction/2020/contemporary-art-evening-auction-2/cy-twombly-untitled,1400000,2100000.0,5,True
22,,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,5500000,7500000,BRIDGET RILEY | UNTITLED (DIAGONAL CURVE),BRIDGET RILEY,/en/buy/auction/2020/contemporary-art-evening-auction-2/bridget-riley-untitled-diagonal-curve,550000,,1,False
23,327600.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,300000,400000, EDUARDO CHILLIDA |  CASA DE LUZ III (HOUSE OF LIGHT III),Eduardo Chillida,/en/buy/auction/2020/contemporary-art-evening-auction-2/eduardo-chillida-casa-de-luz-iii-house-of-light,200000,260000.0,4,True
24,5138700.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,4500000,6500000, GERHARD RICHTER  |  ABSTRAKTES BILD,Gerhard Richter,/en/buy/auction/2020/contemporary-art-evening-auction-2/gerhard-richter-abstraktes-bild,4000000,4300000.0,3,True
25,426400.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,300000,400000,DONALD JUDD | UNTITLED (86-19 BALLANTINE),Donald Judd,/en/buy/auction/2020/contemporary-art-evening-auction-2/donald-judd-untitled-86-19-ballantine,150000,340000.0,7,True
26,,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,1000000,1500000, ELLSWORTH KELLY | BLACK GREEN,Ellsworth  Kelly,/en/buy/auction/2020/contemporary-art-evening-auction-2/ellsworth-kelly-black-green,100000,,0,False
27,1467000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,1200000,1800000, EDUARDO CHILLIDA | BUSCANDO LA LUZ III (LOOKING FOR THE LIGHT III),Eduardo Chillida,/en/buy/auction/2020/contemporary-art-evening-auction-2/eduardo-chillida-buscando-la-luz-iii-looking-for,900000,1200000.0,5,True
28,352800.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,280000,350000, ALIGHIERO BOETTI | OGGI È IL DECIMO GIORNO DEL NONO MESE DELL'ANNO MILLENOVECENTOOTTANTOTTO (QUANDO LE PAROLE SONO STANCHE) (TODAY IS THE TENTH DAY OF THE NINTH MONTH OF THE YEAR NINETEEN EIGHTY EIGHT (WHEN WORDS ARE TIRED)),Alighiero Boetti,/en/buy/auction/2020/contemporary-art-evening-auction-2/alighiero-boetti-oggi-e-il-decimo-giorno-del-nono,200000,280000.0,4,True
